ID,name,userID,cpu,motherboard,ram,gpu,storage,psu
B154,WombleAimerNier,U31,C28,M186,R57,G62,S18,P7
B155,YuiYohAimer,U31,C93,M355,R56,G59,S16,P1
B156,DECO*27DAOKONyarons,U32,C61,M202,R56,G60,S20,P5
B157,WombleDAOKONyarons,U32,C27,M143,R52,G44,S17,P12
B158,TeaTimeFrouEureka,U32,C1,M146,R52,G41,S19,P9
B159,MafuYuiWomble,U32,C64,M219,R53,G64,S14,P6
B160,TeaTimeMikuDECO*27,U32,C62,M213,R51,G67,S14,P10
B161,WombleDECO*27Aimer,U33,C2,M119,R58,G61,S16,P3
B162,NierNierKradness,U33,C27,M172,R52,G61,S14,P7
B163,MafuDAOKOMafu,U33,C2,M140,R51,G17,S15,P2
B164,YuiFrouWomble,U33,C64,M212,R52,G48,S16,P8
B165,FrouWombleDAOKO,U33,C28,M130,R54,G68,S18,P1
B166,FrouMikuDAOKO,U34,C25,M180,R52,G62,S15,P6
B167,TeaTimeEurekaYoasobi,U34,C27,M126,R54,G61,S18,P3
B168,DECO*27FrouWomble,U34,C61,M304,R54,G47,S16,P2
B169,AimerYoasobiTeaTime,U34,C27,M179,R54,G58,S15,P9
B170,FrouDAOKONyarons,U34,C64,M219,R58,G46,S15,P12
B171,YuiTeaTimeKradness,U35,C27,M191,R57,G62,S15,P10
B172,DECO*27UpliftSpiceWomble,U35,C93,M354,R54,G67,S15,P2
B173,NyaronsYohYoh,U35,C25,M175,R55,G62,S15,P3
B174,YuiUpliftSpiceNyarons,U35,C64,M312,R51,G68,S18,P11
B175,MikuUpliftSpiceMafu,U35,C27,M127,R59,G48,S14,P7
B176,YoasobiFrouNier,U36,C25,M138,R56,G44,S19,P7
B177,MikuDAOKOTeaTime,U36,C27,M182,R59,G64,S15,P8
B178,NyaronsKradnessTeaTime,U36,C2,M199,R56,G46,S19,P9
B179,NyaronsDECO*27Yoh,U36,C94,M356,R52,G45,S15,P12
B180,YohFrouMafu,U36,C1,M123,R57,G61,S17,P1
B181,YohTeaTimeYoh,U37,C25,M117,R57,G66,S15,P11
B182,WombleDECO*27Miku,U37,C2,M192,R52,G66,S18,P5
B183,WombleNierYoh,U37,C28,M187,R58,G41,S14,P8
B184,DAOKOYuiFrou,U37,C81,M357,R51,G61,S16,P8
B185,MikuYohYui,U37,C28,M186,R55,G63,S14,P9
B186,NyaronsNierYui,U38,C2,M147,R53,G61,S14,P7
B187,YohMikuDECO*27,U38,C82,M348,R54,G61,S16,P11
B188,YohUpliftSpiceDECO*27,U38,C28,M186,R51,G44,S14,P8
B189,AimerWombleYui,U38,C64,M206,R52,G62,S17,P1
B190,MafuMafuYui,U38,C13,M196,R55,G66,S19,P2
B191,EurekaDECO*27Kradness,U39,C85,M349,R56,G65,S14,P5
B192,EurekaDAOKOYui,U39,C15,M141,R54,G41,S14,P12
B193,YoasobiTeaTimeEureka,U39,C28,M193,R57,G63,S15,P3
B194,KradnessMafuMiku,U39,C81,M358,R59,G41,S18,P3
B195,FrouFrouDAOKO,U39,C63,M203,R54,G68,S15,P12
B196,KradnessUpliftSpiceYui,U40,C84,M360,R51,G67,S15,P6
B197,KradnessNyaronsTeaTime,U40,C1,M115,R55,G65,S14,P3
B198,AimerYuiNyarons,U40,C28,M75,R54,G65,S19,P9
B199,NierYohEureka,U40,C28,M112,R51,G19,S20,P12
B200,DECO*27NierDAOKO,U40,C28,M177,R56,G17,S20,P9
B201,MikuFrouMiku,U41,C63,M303,R53,G62,S19,P9
B202,KradnessTeaTimeNyarons,U41,C82,M362,R56,G42,S20,P10
B203,EurekaTeaTimeFrou,U41,C62,M228,R56,G68,S14,P10
B204,EurekaTeaTimeTeaTime,U41,C27,M137,R56,G61,S17,P6
B205,WombleMikuWomble,U41,C62,M230,R52,G60,S17,P11
B206,MafuMikuYui,U42,C61,M210,R57,G48,S16,P12
B207,UpliftSpiceDECO*27Aimer,U42,C27,M137,R57,G65,S20,P8
B208,DECO*27DAOKOYui,U42,C13,M185,R59,G48,S18,P8
B209,DAOKONierWomble,U42,C25,M115,R57,G64,S20,P2
B210,MikuNyaronsUpliftSpice,U42,C25,M183,R59,G63,S15,P11
B211,NierAimerMafu,U43,C13,M140,R52,G61,S20,P11
B212,TeaTimeNyaronsWomble,U43,C61,M204,R54,G46,S18,P7
B213,YoasobiDAOKOAimer,U43,C64,M202,R56,G19,S14,P11
B214,YoasobiNyaronsYui,U43,C64,M308,R55,G60,S18,P2
B215,KradnessYoasobiKradness,U43,C80,M359,R55,G41,S20,P10
B216,DECO*27KradnessMafu,U44,C15,M109,R55,G57,S14,P1
B217,AimerNyaronsMiku,U44,C25,M141,R58,G67,S19,P12
B218,TeaTimeNierYui,U44,C27,M35,R55,G20,S17,P5
B219,FrouNierYoasobi,U44,C93,M349,R51,G17,S19,P6
B220,EurekaYohYoh,U44,C94,M348,R56,G63,S17,P6
B221,UpliftSpiceEurekaNyarons,U45,C1,M115,R58,G61,S14,P10
B222,DAOKOAimerNyarons,U45,C95,M347,R58,G41,S17,P12
B223,YohWombleDECO*27,U45,C28,M45,R55,G60,S19,P8
B224,AimerDECO*27Frou,U45,C13,M126,R52,G68,S14,P2
B225,YuiYohEureka,U45,C80,M361,R53,G68,S17,P9
B226,WombleWombleYoasobi,U46,C62,M308,R56,G61,S17,P10
B227,DECO*27EurekaKradness,U46,C2,M131,R51,G57,S15,P11
B228,MikuYoasobiMiku,U46,C27,M127,R59,G47,S16,P3
B229,TeaTimeUpliftSpiceDECO*27,U46,C13,M199,R57,G66,S15,P8
B230,KradnessEurekaNier,U46,C63,M262,R57,G60,S20,P2
B231,WombleUpliftSpiceFrou,U47,C25,M147,R51,G63,S15,P10
B232,WombleWombleMiku,U47,C1,M118,R59,G58,S20,P7
B233,UpliftSpiceNierTeaTime,U47,C13,M110,R51,G19,S19,P5
B234,EurekaYuiDAOKO,U47,C28,M113,R57,G45,S19,P5
B235,AimerWombleYoasobi,U47,C15,M123,R51,G17,S20,P8
B236,EurekaNyaronsYoasobi,U48,C62,M227,R58,G45,S16,P5
B237,UpliftSpiceKradnessFrou,U48,C13,M192,R53,G57,S19,P7
B238,WombleKradnessKradness,U48,C28,M112,R57,G45,S17,P7
B239,AimerNierMiku,U48,C25,M120,R53,G60,S15,P12
B240,KradnessNyaronsUpliftSpice,U48,C15,M187,R56,G18,S17,P1
B241,DAOKOWombleMafu,U49,C63,M263,R57,G60,S18,P7
B242,WombleAimerYui,U49,C83,M354,R54,G63,S17,P8
B243,NyaronsUpliftSpiceAimer,U49,C81,M349,R59,G64,S14,P7
B244,FrouYoasobiDAOKO,U49,C28,M67,R55,G19,S16,P1
B245,DECO*27DECO*27Aimer,U49,C27,M110,R59,G41,S15,P8
B246,TeaTimeDAOKOYoasobi,U50,C15,M125,R53,G46,S16,P4
B247,YohNyaronsTeaTime,U50,C1,M188,R55,G57,S18,P10
B248,WombleTeaTimeTeaTime,U50,C62,M221,R56,G43,S17,P2
B249,YoasobiYohDAOKO,U50,C61,M210,R59,G63,S14,P12
B250,DAOKOYoasobiMiku,U50,C2,M122,R52,G48,S18,P8
B251,MikuDECO*27DECO*27,U51,C80,M354,R57,G65,S17,P5
B252,YuiNyaronsNier,U51,C94,M354,R58,G61,S14,P3
B253,EurekaKradnessMiku,U51,C27,M110,R52,G62,S20,P8
B254,EurekaKradnessNyarons,U51,C1,M139,R56,G45,S16,P2
B255,MikuNyaronsNier,U51,C82,M353,R56,G20,S15,P9
B256,MikuDECO*27TeaTime,U52,C27,M183,R55,G65,S20,P6
B257,EurekaNierNier,U52,C25,M185,R59,G44,S18,P10
B258,UpliftSpiceTeaTimeAimer,U52,C63,M215,R53,G44,S17,P10
B259,YohMafuEureka,U52,C85,M355,R53,G46,S20,P5
B260,NierDAOKONier,U52,C82,M358,R59,G62,S20,P3
B261,DAOKODECO*27Yoasobi,U53,C27,M133,R57,G19,S15,P1
B262,DECO*27MikuEureka,U53,C28,M125,R55,G18,S18,P10
B263,FrouKradnessAimer,U53,C61,M201,R56,G19,S19,P2
B264,NierYoasobiNier,U53,C64,M206,R56,G42,S19,P4
B265,YoasobiMafuMiku,U53,C2,M185,R57,G63,S19,P11
B266,DAOKOMikuYui,U54,C82,M347,R52,G59,S16,P7
B267,TeaTimeMikuYoasobi,U54,C62,M206,R53,G65,S16,P11
B268,DECO*27UpliftSpiceNyarons,U54,C95,M358,R59,G46,S18,P12
B269,MafuYuiAimer,U54,C64,M217,R57,G47,S14,P2
B270,DECO*27YoasobiNier,U54,C27,M116,R52,G65,S15,P5
B271,WombleMikuNier,U55,C83,M356,R58,G20,S20,P2
B272,KradnessWombleDECO*27,U55,C15,M109,R56,G62,S14,P9
B273,NierUpliftSpiceMiku,U55,C64,M226,R55,G60,S20,P7
B274,AimerFrouKradness,U55,C15,M135,R55,G65,S20,P5
B275,UpliftSpiceFrouYoh,U55,C61,M307,R59,G59,S17,P5
B276,EurekaDAOKOKradness,U56,C27,M136,R55,G17,S14,P9
B277,NyaronsKradnessYui,U56,C15,M143,R57,G46,S17,P11
B278,EurekaDECO*27DAOKO,U56,C15,M128,R59,G65,S14,P10
B279,WombleFrouMiku,U56,C2,M133,R56,G61,S19,P4
B280,MikuNierFrou,U56,C82,M348,R54,G63,S19,P5
B281,MafuKradnessYoh,U57,C1,M198,R52,G59,S15,P5
B282,TeaTimeYuiDECO*27,U57,C13,M140,R54,G57,S16,P10
B283,WombleDAOKOMafu,U57,C27,M44,R52,G59,S18,P9
B284,MikuEurekaFrou,U57,C2,M136,R57,G44,S19,P5
B285,MikuDECO*27Yui,U57,C93,M348,R52,G64,S15,P7
B286,WombleKradnessEureka,U58,C64,M230,R57,G41,S20,P8
B287,TeaTimeWombleWomble,U58,C28,M143,R57,G65,S20,P4
B288,YohYoasobiNyarons,U58,C27,M72,R59,G63,S20,P10
B289,KradnessEurekaDECO*27,U58,C63,M216,R52,G47,S20,P4
B290,DAOKONyaronsYoasobi,U58,C95,M360,R57,G66,S16,P8
B291,UpliftSpiceNyaronsEureka,U59,C1,M126,R59,G46,S20,P5
B292,YohUpliftSpiceNier,U59,C95,M356,R56,G58,S16,P9
B293,EurekaWombleDECO*27,U59,C28,M76,R52,G66,S20,P10
B294,DAOKOMafuAimer,U59,C62,M212,R58,G64,S20,P6
B295,TeaTimeWombleMafu,U59,C95,M356,R56,G65,S18,P11
B296,NyaronsTeaTimeTeaTime,U60,C27,M63,R51,G48,S19,P6
B297,TeaTimeYuiEureka,U60,C27,M199,R59,G62,S18,P8
B298,AimerDECO*27DAOKO,U60,C28,M143,R52,G20,S16,P3
B299,KradnessMikuYui,U60,C28,M147,R56,G41,S18,P5
B300,FrouNyaronsYoasobi,U60,C62,M314,R54,G65,S14,P11
B301,NierAimerUpliftSpice,U61,C62,M212,R55,G43,S15,P9
B302,EurekaNyaronsYoh,U61,C28,M170,R51,G20,S17,P3
B303,DAOKOMafuEureka,U61,C63,M222,R54,G48,S20,P7
B304,YuiWombleDAOKO,U61,C63,M203,R51,G59,S14,P2
B305,FrouDECO*27Miku,U61,C62,M210,R59,G20,S15,P8
B306,MafuYuiKradness,U62,C63,M306,R56,G63,S19,P10
B307,NyaronsYoasobiMiku,U62,C61,M230,R52,G45,S17,P9
B308,DECO*27UpliftSpiceNyarons,U62,C61,M215,R53,G66,S17,P7
B309,KradnessEurekaNier,U62,C28,M40,R55,G64,S15,P12
B310,FrouFrouNier,U62,C25,M182,R51,G43,S19,P6
B311,YuiMikuWomble,U63,C25,M114,R53,G60,S14,P1
B312,FrouEurekaDAOKO,U63,C27,M115,R53,G62,S18,P11
B313,KradnessDECO*27DECO*27,U63,C15,M194,R51,G44,S17,P3
B314,WombleMikuUpliftSpice,U63,C27,M192,R57,G20,S15,P3
B315,YoasobiMafuMiku,U63,C28,M198,R53,G46,S15,P7
B316,KradnessMafuAimer,U64,C27,M114,R52,G57,S15,P2
B317,YohFrouMiku,U64,C27,M184,R58,G66,S15,P8
B318,DAOKOUpliftSpiceMafu,U64,C2,M190,R55,G45,S16,P10
B319,YohDAOKOMafu,U64,C95,M355,R51,G41,S16,P3
B320,KradnessAimerYoasobi,U64,C1,M137,R51,G59,S14,P3
B321,DAOKOAimerMafu,U65,C25,M150,R52,G41,S20,P7
B322,NierWombleNyarons,U65,C95,M347,R59,G60,S16,P10
B323,KradnessMikuFrou,U65,C1,M175,R59,G58,S20,P10
B324,YohEurekaFrou,U65,C25,M116,R55,G57,S17,P6
B325,DECO*27UpliftSpiceAimer,U65,C25,M132,R59,G20,S20,P12
B326,DECO*27DECO*27Aimer,U66,C15,M112,R51,G59,S16,P8
B327,UpliftSpiceYuiUpliftSpice,U66,C27,M181,R52,G61,S19,P2
B328,TeaTimeEurekaEureka,U66,C64,M223,R55,G60,S20,P7
B329,NierDECO*27Womble,U66,C1,M175,R57,G58,S18,P10
B330,YohKradnessKradness,U66,C27,M149,R54,G57,S18,P10
B331,AimerKradnessDAOKO,U67,C27,M137,R52,G19,S14,P7
B332,MafuKradnessUpliftSpice,U67,C95,M352,R54,G46,S14,P9
B333,NyaronsMikuNier,U67,C28,M120,R52,G48,S19,P5
B334,MikuUpliftSpiceEureka,U67,C1,M142,R53,G61,S16,P12
B335,AimerYohNyarons,U67,C13,M170,R55,G60,S20,P9
B336,KradnessEurekaNyarons,U68,C85,M350,R56,G59,S17,P4
B337,YohNierNyarons,U68,C64,M307,R51,G59,S17,P11
B338,KradnessTeaTimeDECO*27,U68,C13,M187,R54,G46,S20,P4
B339,FrouKradnessNyarons,U68,C25,M148,R52,G67,S14,P1
B340,KradnessAimerWomble,U68,C62,M211,R57,G59,S16,P8
B341,UpliftSpiceNyaronsUpliftSpice,U69,C63,M213,R58,G45,S19,P8
B342,NyaronsWombleMiku,U69,C83,M351,R53,G58,S19,P11
B343,MafuAimerFrou,U69,C13,M123,R54,G63,S15,P4
B344,YoasobiNyaronsTeaTime,U69,C27,M112,R56,G59,S20,P9
B345,AimerUpliftSpiceNier,U69,C62,M314,R58,G66,S15,P7
B346,MikuWombleKradness,U70,C28,M199,R57,G66,S16,P6
B347,WombleMafuAimer,U70,C81,M347,R58,G46,S20,P7
B348,NyaronsFrouNyarons,U70,C1,M143,R52,G46,S15,P4
B349,YoasobiKradnessYoh,U70,C28,M41,R56,G66,S19,P1
B350,FrouEurekaTeaTime,U70,C83,M359,R56,G65,S19,P5
B351,DAOKONierAimer,U71,C15,M145,R53,G57,S19,P9
B352,FrouNyaronsYoh,U71,C28,M56,R52,G18,S16,P10
B353,YoasobiYoasobiTeaTime,U71,C25,M142,R52,G64,S17,P8
B354,YuiDECO*27DAOKO,U71,C28,M50,R54,G46,S18,P4
B355,KradnessYohDECO*27,U71,C2,M180,R56,G67,S17,P8
B356,NyaronsYuiKradness,U72,C62,M219,R52,G63,S14,P12
B357,YohNierFrou,U72,C64,M265,R54,G48,S14,P11
B358,YoasobiYoasobiEureka,U72,C28,M36,R54,G19,S16,P2
B359,AimerMafuYoh,U72,C27,M195,R56,G47,S15,P2
B360,EurekaMafuUpliftSpice,U72,C28,M149,R52,G67,S15,P8
B361,TeaTimeMafuMafu,U73,C15,M182,R51,G46,S15,P6
B362,MafuDAOKOUpliftSpice,U73,C94,M347,R56,G65,S14,P8
B363,DECO*27MafuDAOKO,U73,C28,M36,R54,G68,S15,P12
B364,YoasobiNyaronsNyarons,U73,C25,M171,R52,G18,S18,P4
B365,KradnessKradnessMiku,U73,C61,M210,R54,G18,S17,P1
B366,YuiTeaTimeWomble,U74,C25,M147,R51,G65,S14,P7
B367,YuiAimerNyarons,U74,C82,M362,R52,G45,S14,P12
B368,MikuUpliftSpiceUpliftSpice,U74,C64,M223,R54,G68,S15,P12
B369,FrouAimerNier,U74,C28,M66,R59,G44,S18,P11
B370,AimerAimerYoasobi,U74,C2,M199,R52,G57,S16,P5
B371,YohEurekaNier,U75,C28,M73,R54,G61,S16,P3
B372,DAOKOYoasobiKradness,U75,C63,M231,R55,G42,S17,P7
B373,WombleMafuNyarons,U75,C13,M150,R54,G62,S19,P5
B374,UpliftSpiceMikuYui,U75,C61,M208,R58,G59,S14,P2
B375,KradnessYuiNyarons,U75,C27,M152,R56,G60,S14,P10
B376,EurekaYoasobiDECO*27,U76,C64,M303,R54,G41,S16,P7
B377,YohWombleKradness,U76,C27,M58,R56,G65,S14,P1
B378,DAOKOWombleNyarons,U76,C64,M261,R52,G18,S18,P11
B379,EurekaYuiUpliftSpice,U76,C61,M310,R59,G64,S17,P1
B380,MikuTeaTimeYoasobi,U76,C28,M76,R58,G48,S15,P3
